RepeatUnitSMILES,td_value
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4C3=O)cc2)c(-c2ccccc2)c1,530
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,542.25
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-n5nc(-c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)c6ccccc6c5=O)cc4C3=O)cc2)cc1,526.5
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,553
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)cc1,553
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2-c2ccccc2)cc1,555
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)cc1,564
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,559
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,495
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)c(-c2ccccc2)c1,536.5
*c1ccc(Oc2ccc(N3C(=O)c4cc(-c5ccc([Si](C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc([Si](C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,552
*c1ccc(-n2nc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7cccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)c7)cc6C5=O)cc4)cc3)c3ccccc3c2=O)cc1,511.6666667
*c1ccc(-n2nc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6C5=O)cc4)cc3)c3ccccc3c2=O)cc1,518
*c1ccc(-n2nc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(-c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)cc7)cc6C5=O)cc4)cc3)c3ccccc3c2=O)cc1,527.25
*c1ccc(N2COc3c(ccc4c5c(ccc34)CN(c3ccc(C#CC#*)cc3)CO5)C2)cc1,409
*c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,523
*c1ccc(Cc2ccc(N3C(=O)c4cc(-c5ccc([Si](C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc([Si](C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,542
*c1ccc(-c2ccc(N3C(=O)c4cccc(Oc5ccc(Oc6cccc7c6C(=O)N(*)C7=O)cc5)c4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,516.25
*c1ccc(-c2ccc(N3C(=O)c4cccc(-c5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,570
*c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,544.25
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,582.6
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,578
*c1ccc(C2(c3ccc(N4C(=O)c5cccc(-c6cccc7c6C(=O)N(*)C7=O)c5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,561
*c1ccc(C2(c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,546.6
*c1ccc(C(c2ccc(Oc3cccc(*)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,430
*c1ccc(C(C)(C)c2ccc(N3C(=O)c4cc(-c5ccc([Si](C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc([Si](C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,543
*c1ccc(C(=O)c2ccc(-n3nc(-c4ccc(Oc5cccc(Oc6ccc(-c7nn(*)c(=O)c8ccccc78)cc6)c5C#N)cc4)c4ccccc4c3=O)cc2)cc1,506.4285714
*c1ccc(C#Cc2ccc(N3C(=O)c4ccc([Si](C)(C)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,531
*c1ccc(C#C[SiH](*)C)cc1,634
*c1ccc([SiH](*)C)c(C#N)c1,660
*c1ccc([Si](C)(C=C)c2ccc(-c3cn(-c4ccc(-n5cc(*)nn5)cc4)nn3)cc2)cc1,325
*c1ccc([Si](C)(C)c2ccc(-c3cn(-c4ccc(-n5cc(*)nn5)cc4)nn3)cc2)cc1,322
*c1ccc([Si](*)(OCC)OCC)cc1,450
*c1ccc([Si](*)(OCC)c2ccccc2)cc1,441
*c1ccc([Si](*)(OCC)c2ccc(CN(C)C)cc2)cc1,365
*c1ccc([Si](*)(CCCC)CCCC)cc1,437
*c1ccc([Si](*)(c2cc(C#C)cc(C#C)c2)c2cc(C#C)cc(C#C)c2)cc1,791
*c1ccc([Si](*)(C)OCC)cc1,465
*c1ccc([Si](*)(C)CCCC)cc1,453
*c1ccc([Si](*)(C)c2ccccc2)cc1,495
*c1ccc([Si](*)(C)c2ccc(CN(C)C)cc2)cc1,394
*c1ccc([Si](*)(C)c2ccc(C#C[SiH](C)C)cc2)cc1,490
*c1ccc([Si](*)(C)c2ccc(C#C[Si](C)(C)C)cc2)cc1,440
*c1ccc([Si](*)(C)c2ccc(C#C)cc2)cc1,568
*c1ccc([Si](*)(C)C=C)cc1,486
*c1ccc([Si](*)(C)C#C)cc1,452
*c1cc(OCC#C)cc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)c1,446
*C1B(B(B(B)B)B(B)B(B)B)C1c1cccc(C#C[Si](C)(C)C#Cc2cccc(C#C[Si](*)(C)C)c2)c1,552
*C=C[Si](C)(C)c1ccc([Si](C)(C)C=Cc2ccc(-c3ccc(*)cc3)cc2)c2c1CC2,467.2
*C=C[Si](C)(C)c1ccc([Si](C)(C)C=Cc2ccc(*)cc2)c2c1CC2,442.9
*C=C[Si](C)(C)c1ccc([Si](C)(C)C=Cc2ccc(*)c3c2CC3)cc1,461.9
*C=C[Si](C)(C)c1ccc([Si](C)(C)C=Cc2ccc(*)c3c2CC3)c2c1CC2,491.8
*C/C=C/C[Si](*)(c1ccccc1)c1ccccc1,275
*C(=O)Nc1cccc(Oc2cccc(C#N)c2C#N)c1,303
*C#CCOc1cccc(OCC#C[Si](*)(C)C)c1,438
*C#CCOc1ccc(S(=O)(=O)c2ccc(OCC#C[SiH](*)c3ccccc3)cc2)cc1,481
*C#CCOc1ccc(Oc2ccc(OCC#CC(C)(C)C#CCOc3ccc(Oc4ccc(OCC#C*)cc4)cc3)cc2)cc1,418
*C#CCOc1ccc(N2COc3ccc(C(C)(C)c4ccc5c(c4)CN(c4ccc(OCC#C*)cc4)CO5)cc3C2)cc1,367
*C#CCOc1ccc(N2COc3ccc(C(C)(C)c4ccc5c(c4)CN(c4ccc(O*)cc4)CO5)cc3C2)cc1,367
*C#CCOc1ccc(N2COc3ccc(C(=O)c4ccc5c(c4)CN(c4ccc(OCC#C*)cc4)CO5)cc3C2)cc1,401
*C#CCOc1ccc(N2COc3c(ccc4c5c(ccc34)CN(c3ccc(OCC#C*)cc3)CO5)C2)cc1,379
*C#CCOc1ccc(C(c2ccc(OCC#C[Si](*)(C)C)cc2)(C(F)(F)F)C(F)(F)F)cc1,400
*C#CCOc1ccc(C(C)(C)c2ccc(OCC#Cc3ccc(N4COc5ccc(C(C)(C)c6ccc7c(c6)CN(c6ccc(*)cc6)CO7)cc5C4)cc3)cc2)cc1,342
*C#CCOc1ccc(C(C)(C)c2ccc(OCC#C[SiH](*)c3ccccc3)cc2)cc1,455
*C#CCOc1ccc(C(C)(C)c2ccc(OCC#C[Si](*)(C)C)cc2)cc1,420
*C#CCOc1ccc(C(=O)OCCCOc2ccc(N=Nc3ccc(OCCCOC(=O)c4ccc(OCC#C*)cc4)cc3)cc2)cc1,260
*C#CCOc1ccc(C(=O)OCCCCCCOc2ccc(N=Nc3ccc(OCCCCCCOC(=O)c4ccc(OCC#C*)cc4)cc3)cc2)cc1,285
*C#CCOc1ccc(C(=O)OCCCCCCCCCCCOc2ccc(N=Nc3ccc(OCCCCCCCCCCCOC(=O)c4ccc(OCC#C*)cc4)cc3)cc2)cc1,287
*C#CCN1COc2ccc(C(C)(C)c3ccc4c(c3)CN(CC#Cc3ccc(N5COc6ccc(C(C)(C)c7ccc8c(c7)CN(c7ccc(*)cc7)CO8)cc6C5)cc3)CO4)cc2C1,329
*C#CCN(CC#C[Si](*)(C)C)c1ccccc1,451
*C#Cc1ccccc1C#C[Si](*)(C)C,437
*C#Cc1cccc(C#C[SiH](C)C#Cc2cccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)c2)c1,591
*C#Cc1cccc(C#C[SiH](C)C#Cc2cccc(C#C[Si](C)(C)O[Si](*)(C)C)c2)c1,670
*C#Cc1cccc(C#C[SiH](C)C#Cc2cccc(C#C[Si](*)(C)C)c2)c1,659
*C#Cc1cccc(C#C[SiH](*)c2ccccc2)c1,740
*C#Cc1cccc(C#C[SiH](*)C)c1,700
*C#Cc1cccc(C#C[Si]2(C)O[Si]3(C)O[Si]4(C)O[Si](*)(C)O[Si]5(C)O[Si@](C)(O4)O[Si](C)(O3)O[Si@](C)(O2)O5)c1,503
*C#Cc1cccc(C#C[Si](C)(C)O[Si](O[Si](*)(C)C)(c2ccccc2)c2ccccc2)c1,589
*C#Cc1cccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)c1,505
*C#Cc1cccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)c1,532
*C#Cc1cccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)c1,550
*C#Cc1cccc(C#C[Si](C)(C)O[Si](*)(C)C)c1,602
*C#Cc1cccc(C#C[Si](C)(C)[Si](*)(C)C)c1,631.1
*C#Cc1cccc(C#C[Si](C)(C#Cc2cccc(C#CB3NB(*)NB(C#Cc4cccc(C#C)c4)N3)c2)C=C)c1,580
*C#Cc1cccc(C#C[Si](*)(c2ccccc2)c2ccccc2)c1,563
*C#Cc1cccc(C#C[Si](*)(C)C=C)c1,645
*C#Cc1cccc(C#C[Si](*)(C)C)c1,620
*C#Cc1cccc(C#C[Si](*)(C#Cc2cccc(C#C)c2)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,430
*C#Cc1cccc(C#C[Si](*)(C#Cc2cccc(C#C)c2)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,416
*C#Cc1cccc(C#C[Si](*)(C#Cc2cccc(C#C)c2)C#Cc2cccc(C#C)c2)c1,575
*C#Cc1ccc2oc(-c3ccc(C#C[Si](*)(C)C)cc3)nc2c1,661
*C#Cc1ccc2ccc(C#C[Si](*)(c3ccccc3)c3ccccc3)cc2c1,561
*C#Cc1ccc2ccc(C#C[Si](*)(C)C)cc2c1,638
*C#Cc1ccc2c(c1)Cc1cc(C#C[Si](*)(C)C=C)ccc1-2,532
*C#Cc1ccc2[nH]c3ccc(C#C[Si](C)(C#Cc4cccc(C#C[Si](*)(C)C=C)c4)C=C)cc3c2c1,615.8
*C#Cc1ccc(Sc2ccc(C#C[Si](*)(C)c3ccccc3)cc2)cc1,498
*C#Cc1ccc(S(=O)c2ccc(C#C[Si](*)(C)c3ccccc3)cc2)cc1,449
*C#Cc1ccc(S(=O)(=O)c2ccc(C#C[Si](*)(C)c3ccccc3)cc2)cc1,376
*C#Cc1ccc(Oc2cccc(Oc3ccc(C#C[Si](*)(C)C)cc3)n2)cc1,500
*C#Cc1ccc(Oc2ccc(Oc3ccc(C#C[Si](*)(C)c4ccccc4)cc3)cc2)cc1,531
*C#Cc1ccc(Oc2ccc(Oc3ccc(C#C[Si](*)(C)C)cc3)cc2)cc1,549
*C#Cc1ccc(Oc2ccc(-c3nnc(-c4ccc(Oc5ccc(C#C[Si](*)(c6ccccc6)c6ccccc6)cc5)cc4)o3)cc2)cc1,487
*C#Cc1ccc(Oc2ccc(-c3nnc(-c4ccc(Oc5ccc(C#C[Si](*)(C)c6ccccc6)cc5)cc4)o3)cc2)cc1,473
*C#Cc1ccc(Oc2ccc(-c3nnc(-c4ccc(Oc5ccc(C#C[Si](*)(C)C)cc5)cc4)o3)cc2)cc1,458
*C#Cc1ccc(Oc2ccc(-c3nnc(-c4ccc(Oc5ccc(C#C[Si](*)(C)C)cc5)c(-c5ccccc5)c4)o3)cc2-c2ccccc2)cc1,466
*C#Cc1ccc(Oc2ccc(-c3nnc(-c4ccc(Oc5ccc(C#C[Si](*)(C)C)cc5)c(C#Cc5ccccc5)c4)o3)cc2C#Cc2ccccc2)cc1,485
*C#Cc1ccc(Oc2ccc(C3N=NC(c4ccc(Oc5ccc(C#C[Si](*)(C)C)cc5)cc4)O3)cc2)cc1,458
*C#Cc1ccc(Oc2ccc(C3N=NC(c4ccc(Oc5ccc(C#C[Si](*)(C)C)cc5)c(-c5ccccc5)c4)O3)cc2-c2ccccc2)cc1,466
*C#Cc1ccc(Oc2ccc(C3N=NC(c4ccc(Oc5ccc(C#C[Si](*)(C)C)cc5)c(C#Cc5ccccc5)c4)O3)cc2C#Cc2ccccc2)cc1,485
*C#Cc1ccc(Oc2ccc(C#C[Si](*)(c3ccccc3)c3ccccc3)cc2)cc1,625
*C#Cc1ccc(Oc2ccc(C#C[Si](*)(C)C)cc2)cc1,603
*C#Cc1ccc(N2COc3ccc4c(c3C2)CN(*)CO4)cc1,360
*C#Cc1ccc(N2COc3ccc(O[Si](*)(C)C)cc3C2)cc1,380
*C#Cc1ccc(N2COc3c(ccc4c5c(ccc34)CN(c3ccc(C#C*)cc3)CO5)C2)cc1,409
*C#Cc1ccc(N[Si](Nc2ccc(C#Cc3cccc(*)c3)cc2)(c2ccccc2)c2ccccc2)cc1,420
*C#Cc1ccc(N[Si](Nc2ccc(C#Cc3ccc(*)cc3)cc2)(c2ccccc2)c2ccccc2)cc1,394
*C#Cc1ccc(-c2nc3cc(-c4ccc5oc(-c6ccc(C#C[Si](*)(C)C)cc6)nc5c4)ccc3o2)cc1,637
*C#Cc1ccc(-c2cc(-c3ccc(C#C*)cc3)cc(-c3ccc(C#C[Si](*)(c4ccccc4)c4ccccc4)cc3)c2)cc1,510
*C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)cc1,489
*C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)cc1,495
*C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)cc1,497
*C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](*)(C)C)cc1,502
*C#Cc1ccc(C#C[Si](C)(C)O[Si](*)(C)C)cc1,569
*C#Cc1ccc(C#C[Si](*)(C)C)cc1,613.95
*C#Cc1ccc(C#C[Si](*)(C#Cc2ccccc2)C#Cc2ccccc2)cc1,710.8
*C#Cc1ccc([Si](O[Si](c2ccccc2)(c2ccccc2)c2ccc(C#Cc3cccc(*)c3)cc2)(c2ccccc2)c2ccccc2)cc1,558
*C#Cc1ccc([Si](O[Si](c2ccccc2)(c2ccccc2)c2ccc(C#Cc3ccc(*)cc3)cc2)(c2ccccc2)c2ccccc2)cc1,550
*C#Cc1ccc([Si](O[Si](c2ccccc2)(c2ccccc2)c2ccc(C#C*)cc2)(c2ccccc2)c2ccccc2)cc1,561
*C#Cc1cc(C#C)cc(C#C[SiH](*)C)c1,560.2
*C#Cc1cc(C#C)cc(C#C[Si](*)(C)C)c1,483.4
*C#C[SiH](C)C#CB(*)c1ccccc1,650
*C#C[SiH](C)C#C[SiH](C)C#Cc1cccc(C#C[SiH](*)C)c1,644
*C#C[SiH](C)C#C[SiH](*)C,641
*C#C[SiH](C)C#C[Si](*)(c1ccccc1)c1ccccc1,526
*C#C[SiH](*)C,622
*C#C[Si](C#C[Si](*)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,483
*C#C[Si](*)(c1ccccc1)c1ccccc1,595
*C#C[Si](*)(C)C#Cc1ccc(-c2cc(-c3ccc(C#C)cc3)cc(-c3ccc(C#C)cc3)c2)cc1,565
*C#C[Si](*)(C)C,578.8
*B(O[Si](*)(c1ccccc1)c1ccccc1)c1ccccc1,625
*[SiH2]C#C[Si](*)(c1ccccc1)c1ccccc1,572
*[SiH](C)C#C[SiH](*)C,613
*[C]BB(B)C(B(B)B)(B(B)B[B])[SiH](*)C,762
*/N=C1\OC(=O)c2cccc(-c3ccc4c(c3)/C(=N/c3ccc(Oc5ccc(*)cc5)cc3)OC4=O)c21,485
*/N=C1\OC(=O)c2c1cccc2-c1ccc2c(c1)C(=O)O/C2=N\c1ccc(-c2ccc(*)cc2C(F)(F)F)c(C(F)(F)F)c1,571.75
*/N=C1\OC(=O)c2c1cccc2-c1ccc2c(c1)C(=O)O/C2=N/c1cccc(Oc2ccc(*)cc2)c1,518.2
*/N=C1\OC(=O)c2c1cccc2-c1ccc2c(c1)/C(=N/c1cccc(Oc3ccc(*)cc3)c1)OC2=O,569.5
*/N=C1\OC(=O)c2c1cccc2-c1ccc2c(c1)/C(=N/c1cccc(*)c1)OC2=O,577
*/N=C1/OC(=O)c2ccc(C(c3ccc4c(c3)/C(=N\c3cccc(Oc5cccc(Oc6cccc(*)c6)c5)c3)OC4=O)(C(F)(F)F)C(F)(F)F)cc21,496.5
*/N=C1/OC(=O)c2c1cccc2-c1ccc2c(c1)/C(=N/c1cccc(Oc3ccc(*)cc3)c1)OC2=O,571.75
*/N=C1/OC(=O)c2c1cccc2-c1ccc2c(c1)/C(=N/c1cccc(*)c1)OC2=O,577
*/C=C/c1ccc(Oc2ccc(-c3ccc(-c4ccc(-c5ccc(Oc6ccc(/C=C/c7ccc8c(c7)c7cc(*)ccc7n8CC(CC)CCCC)cc6)c(C#N)c5)cc4)cc3)cc2C#N)cc1,502
*/C=C(/Cl)c1ccc(C2(c3ccc(C(Cl)=CC(*)c4ccc(C#N)cc4)cc3)c3ccccc3Oc3ccccc32)cc1,174
